team,champion_pct,finalist_pct,semifinal_pct
Argentina,6.07,10.73,17.33
Spain,6.0,10.67,19.13
England,4.27,8.2,14.47
France,4.13,8.07,15.73
Portugal,2.6,6.2,12.2
Belgium,4.87,8.73,14.07
Mexico,4.53,7.33,14.33
Germany,4.0,7.73,13.27
Morocco,3.6,7.0,14.0
Japan,3.47,7.13,12.67
Canada,3.27,5.93,12.07
Netherlands,3.13,5.33,11.33
Brazil,3.07,5.67,12.67
Austria,2.8,6.6,12.13
Norway,2.8,6.07,11.87
Iran,2.6,5.2,9.73
Senegal,2.6,4.67,8.13
Switzerland,2.53,5.47,12.33
Algeria,2.53,5.47,10.07
Colombia,2.47,4.47,10.13
Turkey,2.33,4.73,9.73
Croatia,2.33,4.73,8.33
Uruguay,2.27,4.53,7.73
Ecuador,2.07,4.93,9.8
Ivory Coast,2.0,4.27,7.67
Australia,1.93,3.6,8.13
DR Congo,1.8,3.53,6.0
Egypt,1.6,3.13,7.67
United States,1.47,3.47,7.93
Czech Republic,1.4,2.27,5.87
South Korea,1.33,2.8,7.67
Scotland,1.33,3.07,6.93
Paraguay,0.93,2.0,4.93
Uzbekistan,0.8,2.27,5.2
Iraq,0.73,2.0,4.73
Panama,0.67,1.0,3.0
Haiti,0.67,1.33,3.4
Bosnia and Herzegovina,0.6,1.4,3.33
Tunisia,0.6,1.47,3.2
South Africa,0.4,1.13,3.73
Cape Verde,0.33,0.8,1.93
Curaçao,0.27,0.53,1.67
Saudi Arabia,0.2,0.47,1.73
Jordan,0.2,1.07,3.73
Ghana,0.13,0.47,1.27
Qatar,0.13,0.53,2.2
New Zealand,0.07,0.87,2.6
Sweden,0.07,0.93,2.2
